Ithd,LSL,USL,Average,IHD 2nd Order,LSL,USL,Average,IHD 3rd Order,LSL,USL,Average,IHD 4th Order,LSL,USL,Average,IHD 5th Order,LSL,USL,Average,IHD 6th Order,LSL,USL,Average,IHD 7th Order,LSL,USL,Average,IHD 8th Order,LSL,USL,Average,IHD 9th Order,LSL,USL,Average,IHD 10th Order,LSL,USL,Average,IHD 11th Order,LSL,USL,Average,IHD 12th Order,LSL,USL,Average,IHD 13th Order,LSL,USL,Average,IHD 14th Order,LSL,USL,Average,IHD 15th Order,LSL,USL,Average,IHD 16th Order,LSL,USL,Average,IHD 17th Order,LSL,USL,Average,IHD 18th Order,LSL,USL,Average,IHD 19th Order,LSL,USL,Average,IHD 20th Order,LSL,USL,Average,IHD 21st Order,LSL,USL,Average,IHD 22nd Order,LSL,USL,Average,IHD 23rd Order,LSL,USL,Average,IHD 24th Order,LSL,USL,Average,IHD 25th Order,LSL,USL,Average,IHD 26th Order,LSL,USL,Average,IHD 27th Order,LSL,USL,Average,IHD 28th Order,LSL,USL,Average,IHD 29th Order,LSL,USL,Average,IHD 30th Order,LSL,USL,Average,IHD 31st Order,LSL,USL,Average,IHD 32nd Order,LSL,USL,Average,IHD 33rd Order,LSL,USL,Average,IHD 34th Order,LSL,USL,Average,IHD 35th Order,LSL,USL,Average,IHD 36th Order,LSL,USL,Average,IHD 37th Order,LSL,USL,Average,IHD 38th Order,LSL,USL,Average,IHD 39th Order,LSL,USL,Average,IHD 40th Order,LSL,USL,Average
1.94,0,5,2.163232323,0.413,0,1,0.493161616,0.658,0,4,0.643828283,0.062,0,1,0.234535354,0.322,0,4,0.340414141,0.034,0,1,0.162878788,0.259,0,4,0.268727273,0.029,0,1,0.113090909,0.245,0,4,0.259090909,0.029,0,1,0.074131313,0.24,0,2,0.258808081,0.024,0,0.5,0.048474747,0.235,0,2,0.247464646,0.019,0,0.5,0.031090909,0.226,0,2,0.23520202,0.019,0,0.5,0.023040404,0.23,0,1.5,0.223323232,0.019,0,0.375,0.019636364,0.226,0,1.5,0.210080808,0.019,0,0.375,0.018272727,0.221,0,1.5,0.201040404,0.019,0,0.375,0.017636364,0.206,0,0.6,0.192151515,0.014,0,0.15,0.017818182,0.192,0,0.6,0.168606061,0.014,0,0.15,0.018686869,0.173,0,0.6,0.149373737,0.014,0,0.15,0.021727273,0.144,0,0.6,0.132767677,0.01,0,0.15,0.027686869,0.13,0,0.6,0.123616162,0.01,0,0.15,0.037707071,0.125,0,0.6,0.132222222,0.01,0,0.15,0.05489899,0.182,0,0.3,0.199737374,0.014,0,0.075,0.073161616,0.259,0,0.3,0.255626263,0.014,0,0.075,0.07440404,0.216,0,0.3,0.217111111,0.01,0,0.075,0.05779798
2.11,0,5,2.163232323,0.394,0,1,0.493161616,0.711,0,4,0.643828283,0.086,0,1,0.234535354,0.341,0,4,0.340414141,0.038,0,1,0.162878788,0.259,0,4,0.268727273,0.038,0,1,0.113090909,0.235,0,4,0.259090909,0.034,0,1,0.074131313,0.226,0,2,0.258808081,0.029,0,0.5,0.048474747,0.221,0,2,0.247464646,0.024,0,0.5,0.031090909,0.206,0,2,0.23520202,0.024,0,0.5,0.023040404,0.197,0,1.5,0.223323232,0.024,0,0.375,0.019636364,0.182,0,1.5,0.210080808,0.019,0,0.375,0.018272727,0.187,0,1.5,0.201040404,0.019,0,0.375,0.017636364,0.173,0,0.6,0.192151515,0.019,0,0.15,0.017818182,0.139,0,0.6,0.168606061,0.019,0,0.15,0.018686869,0.12,0,0.6,0.149373737,0.019,0,0.15,0.021727273,0.13,0,0.6,0.132767677,0.019,0,0.15,0.027686869,0.134,0,0.6,0.123616162,0.024,0,0.15,0.037707071,0.182,0,0.6,0.132222222,0.019,0,0.15,0.05489899,0.326,0,0.3,0.199737374,0.019,0,0.075,0.073161616,0.437,0,0.3,0.255626263,0.024,0,0.075,0.07440404,0.35,0,0.3,0.217111111,0.019,0,0.075,0.05779798
2.49,0,5,2.163232323,0.326,0,1,0.493161616,0.835,0,4,0.643828283,0.082,0,1,0.234535354,0.394,0,4,0.340414141,0.029,0,1,0.162878788,0.298,0,4,0.268727273,0.019,0,1,0.113090909,0.259,0,4,0.259090909,0.014,0,1,0.074131313,0.24,0,2,0.258808081,0.019,0,0.5,0.048474747,0.23,0,2,0.247464646,0.019,0,0.5,0.031090909,0.221,0,2,0.23520202,0.019,0,0.5,0.023040404,0.206,0,1.5,0.223323232,0.019,0,0.375,0.019636364,0.192,0,1.5,0.210080808,0.024,0,0.375,0.018272727,0.173,0,1.5,0.201040404,0.024,0,0.375,0.017636364,0.163,0,0.6,0.192151515,0.034,0,0.15,0.017818182,0.134,0,0.6,0.168606061,0.038,0,0.15,0.018686869,0.12,0,0.6,0.149373737,0.043,0,0.15,0.021727273,0.11,0,0.6,0.132767677,0.048,0,0.15,0.027686869,0.154,0,0.6,0.123616162,0.048,0,0.15,0.037707071,0.226,0,0.6,0.132222222,0.048,0,0.15,0.05489899,0.336,0,0.3,0.199737374,0.048,0,0.075,0.073161616,0.518,0,0.3,0.255626263,0.048,0,0.075,0.07440404,0.494,0,0.3,0.217111111,0.043,0,0.075,0.05779798
2.11,0,5,2.163232323,0.605,0,1,0.493161616,0.648,0,4,0.643828283,0.336,0,1,0.234535354,0.269,0,4,0.340414141,0.25,0,1,0.162878788,0.182,0,4,0.268727273,0.173,0,1,0.113090909,0.192,0,4,0.259090909,0.115,0,1,0.074131313,0.202,0,2,0.258808081,0.072,0,0.5,0.048474747,0.211,0,2,0.247464646,0.043,0,0.5,0.031090909,0.216,0,2,0.23520202,0.029,0,0.5,0.023040404,0.211,0,1.5,0.223323232,0.019,0,0.375,0.019636364,0.216,0,1.5,0.210080808,0.019,0,0.375,0.018272727,0.211,0,1.5,0.201040404,0.014,0,0.375,0.017636364,0.206,0,0.6,0.192151515,0.014,0,0.15,0.017818182,0.182,0,0.6,0.168606061,0.014,0,0.15,0.018686869,0.168,0,0.6,0.149373737,0.01,0,0.15,0.021727273,0.139,0,0.6,0.132767677,0.01,0,0.15,0.027686869,0.125,0,0.6,0.123616162,0.01,0,0.15,0.037707071,0.144,0,0.6,0.132222222,0.01,0,0.15,0.05489899,0.211,0,0.3,0.199737374,0.01,0,0.075,0.073161616,0.283,0,0.3,0.255626263,0.01,0,0.075,0.07440404,0.283,0,0.3,0.217111111,0.01,0,0.075,0.05779798
2.16,0,5,2.163232323,0.614,0,1,0.493161616,0.595,0,4,0.643828283,0.398,0,1,0.234535354,0.269,0,4,0.340414141,0.293,0,1,0.162878788,0.158,0,4,0.268727273,0.206,0,1,0.113090909,0.163,0,4,0.259090909,0.139,0,1,0.074131313,0.197,0,2,0.258808081,0.086,0,0.5,0.048474747,0.206,0,2,0.247464646,0.048,0,0.5,0.031090909,0.206,0,2,0.23520202,0.029,0,0.5,0.023040404,0.211,0,1.5,0.223323232,0.024,0,0.375,0.019636364,0.206,0,1.5,0.210080808,0.019,0,0.375,0.018272727,0.202,0,1.5,0.201040404,0.019,0,0.375,0.017636364,0.197,0,0.6,0.192151515,0.014,0,0.15,0.017818182,0.173,0,0.6,0.168606061,0.014,0,0.15,0.018686869,0.149,0,0.6,0.149373737,0.014,0,0.15,0.021727273,0.144,0,0.6,0.132767677,0.014,0,0.15,0.027686869,0.139,0,0.6,0.123616162,0.014,0,0.15,0.037707071,0.12,0,0.6,0.132222222,0.014,0,0.15,0.05489899,0.23,0,0.3,0.199737374,0.014,0,0.075,0.073161616,0.317,0,0.3,0.255626263,0.014,0,0.075,0.07440404,0.278,0,0.3,0.217111111,0.019,0,0.075,0.05779798
3.99,0,5,2.163232323,0.864,0,1,0.493161616,0.787,0,4,0.643828283,0.682,0,1,0.234535354,0.85,0,4,0.340414141,0.49,0,1,0.162878788,0.922,0,4,0.268727273,0.341,0,1,0.113090909,0.869,0,4,0.259090909,0.221,0,1,0.074131313,0.768,0,2,0.258808081,0.134,0,0.5,0.048474747,0.643,0,2,0.247464646,0.077,0,0.5,0.031090909,0.514,0,2,0.23520202,0.038,0,0.5,0.023040404,0.403,0,1.5,0.223323232,0.024,0,0.375,0.019636364,0.326,0,1.5,0.210080808,0.019,0,0.375,0.018272727,0.264,0,1.5,0.201040404,0.019,0,0.375,0.017636364,0.23,0,0.6,0.192151515,0.024,0,0.15,0.017818182,0.192,0,0.6,0.168606061,0.019,0,0.15,0.018686869,0.173,0,0.6,0.149373737,0.019,0,0.15,0.021727273,0.149,0,0.6,0.132767677,0.029,0,0.15,0.027686869,0.13,0,0.6,0.123616162,0.043,0,0.15,0.037707071,0.101,0,0.6,0.132222222,0.062,0,0.15,0.05489899,0.091,0,0.3,0.199737374,0.096,0,0.075,0.073161616,0.12,0,0.3,0.255626263,0.101,0,0.075,0.07440404,0.091,0,0.3,0.217111111,0.062,0,0.075,0.05779798
1.9,0,5,2.163232323,0.446,0,1,0.493161616,0.739,0,4,0.643828283,0.067,0,1,0.234535354,0.322,0,4,0.340414141,0.038,0,1,0.162878788,0.254,0,4,0.268727273,0.034,0,1,0.113090909,0.24,0,4,0.259090909,0.034,0,1,0.074131313,0.235,0,2,0.258808081,0.029,0,0.5,0.048474747,0.226,0,2,0.247464646,0.024,0,0.5,0.031090909,0.216,0,2,0.23520202,0.024,0,0.5,0.023040404,0.211,0,1.5,0.223323232,0.019,0,0.375,0.019636364,0.197,0,1.5,0.210080808,0.019,0,0.375,0.018272727,0.187,0,1.5,0.201040404,0.014,0,0.375,0.017636364,0.182,0,0.6,0.192151515,0.014,0,0.15,0.017818182,0.154,0,0.6,0.168606061,0.014,0,0.15,0.018686869,0.139,0,0.6,0.149373737,0.014,0,0.15,0.021727273,0.11,0,0.6,0.132767677,0.01,0,0.15,0.027686869,0.11,0,0.6,0.123616162,0.01,0,0.15,0.037707071,0.101,0,0.6,0.132222222,0.01,0,0.15,0.05489899,0.216,0,0.3,0.199737374,0.014,0,0.075,0.073161616,0.245,0,0.3,0.255626263,0.01,0,0.075,0.07440404,0.197,0,0.3,0.217111111,0.01,0,0.075,0.05779798
2.24,0,5,2.163232323,0.619,0,1,0.493161616,0.576,0,4,0.643828283,0.475,0,1,0.234535354,0.264,0,4,0.340414141,0.341,0,1,0.162878788,0.216,0,4,0.268727273,0.245,0,1,0.113090909,0.259,0,4,0.259090909,0.149,0,1,0.074131313,0.259,0,2,0.258808081,0.096,0,0.5,0.048474747,0.269,0,2,0.247464646,0.053,0,0.5,0.031090909,0.264,0,2,0.23520202,0.029,0,0.5,0.023040404,0.25,0,1.5,0.223323232,0.019,0,0.375,0.019636364,0.245,0,1.5,0.210080808,0.014,0,0.375,0.018272727,0.235,0,1.5,0.201040404,0.014,0,0.375,0.017636364,0.23,0,0.6,0.192151515,0.019,0,0.15,0.017818182,0.197,0,0.6,0.168606061,0.019,0,0.15,0.018686869,0.178,0,0.6,0.149373737,0.014,0,0.15,0.021727273,0.158,0,0.6,0.132767677,0.029,0,0.15,0.027686869,0.125,0,0.6,0.123616162,0.058,0,0.15,0.037707071,0.13,0,0.6,0.132222222,0.082,0,0.15,0.05489899,0.125,0,0.3,0.199737374,0.091,0,0.075,0.073161616,0.173,0,0.3,0.255626263,0.082,0,0.075,0.07440404,0.11,0,0.3,0.217111111,0.067,0,0.075,0.05779798
1.97,0,5,2.163232323,0.456,0,1,0.493161616,0.677,0,4,0.643828283,0.144,0,1,0.234535354,0.298,0,4,0.340414141,0.096,0,1,0.162878788,0.23,0,4,0.268727273,0.072,0,1,0.113090909,0.211,0,4,0.259090909,0.053,0,1,0.074131313,0.211,0,2,0.258808081,0.034,0,0.5,0.048474747,0.197,0,2,0.247464646,0.029,0,0.5,0.031090909,0.187,0,2,0.23520202,0.024,0,0.5,0.023040404,0.192,0,1.5,0.223323232,0.024,0,0.375,0.019636364,0.182,0,1.5,0.210080808,0.024,0,0.375,0.018272727,0.173,0,1.5,0.201040404,0.019,0,0.375,0.017636364,0.182,0,0.6,0.192151515,0.024,0,0.15,0.017818182,0.154,0,0.6,0.168606061,0.029,0,0.15,0.018686869,0.12,0,0.6,0.149373737,0.029,0,0.15,0.021727273,0.12,0,0.6,0.132767677,0.053,0,0.15,0.027686869,0.12,0,0.6,0.123616162,0.072,0,0.15,0.037707071,0.115,0,0.6,0.132222222,0.12,0,0.15,0.05489899,0.168,0,0.3,0.199737374,0.182,0,0.075,0.073161616,0.216,0,0.3,0.255626263,0.216,0,0.075,0.07440404,0.154,0,0.3,0.217111111,0.168,0,0.075,0.05779798
1.84,0,5,2.163232323,0.418,0,1,0.493161616,0.687,0,4,0.643828283,0.139,0,1,0.234535354,0.293,0,4,0.340414141,0.101,0,1,0.162878788,0.216,0,4,0.268727273,0.077,0,1,0.113090909,0.197,0,4,0.259090909,0.053,0,1,0.074131313,0.197,0,2,0.258808081,0.038,0,0.5,0.048474747,0.202,0,2,0.247464646,0.029,0,0.5,0.031090909,0.206,0,2,0.23520202,0.024,0,0.5,0.023040404,0.206,0,1.5,0.223323232,0.019,0,0.375,0.019636364,0.197,0,1.5,0.210080808,0.019,0,0.375,0.018272727,0.206,0,1.5,0.201040404,0.019,0,0.375,0.017636364,0.202,0,0.6,0.192151515,0.019,0,0.15,0.017818182,0.163,0,0.6,0.168606061,0.019,0,0.15,0.018686869,0.158,0,0.6,0.149373737,0.014,0,0.15,0.021727273,0.134,0,0.6,0.132767677,0.014,0,0.15,0.027686869,0.125,0,0.6,0.123616162,0.014,0,0.15,0.037707071,0.106,0,0.6,0.132222222,0.01,0,0.15,0.05489899,0.163,0,0.3,0.199737374,0.014,0,0.075,0.073161616,0.197,0,0.3,0.255626263,0.014,0,0.075,0.07440404,0.178,0,0.3,0.217111111,0.01,0,0.075,0.05779798
2.13,0,5,2.163232323,0.307,0,1,0.493161616,0.667,0,4,0.643828283,0.072,0,1,0.234535354,0.36,0,4,0.340414141,0.029,0,1,0.162878788,0.25,0,4,0.268727273,0.019,0,1,0.113090909,0.226,0,4,0.259090909,0.014,0,1,0.074131313,0.235,0,2,0.258808081,0.019,0,0.5,0.048474747,0.235,0,2,0.247464646,0.014,0,0.5,0.031090909,0.23,0,2,0.23520202,0.014,0,0.5,0.023040404,0.23,0,1.5,0.223323232,0.014,0,0.375,0.019636364,0.226,0,1.5,0.210080808,0.014,0,0.375,0.018272727,0.221,0,1.5,0.201040404,0.019,0,0.375,0.017636364,0.216,0,0.6,0.192151515,0.024,0,0.15,0.017818182,0.197,0,0.6,0.168606061,0.029,0,0.15,0.018686869,0.182,0,0.6,0.149373737,0.034,0,0.15,0.021727273,0.163,0,0.6,0.132767677,0.038,0,0.15,0.027686869,0.134,0,0.6,0.123616162,0.038,0,0.15,0.037707071,0.173,0,0.6,0.132222222,0.038,0,0.15,0.05489899,0.259,0,0.3,0.199737374,0.038,0,0.075,0.073161616,0.331,0,0.3,0.255626263,0.038,0,0.075,0.07440404,0.346,0,0.3,0.217111111,0.034,0,0.075,0.05779798
1.87,0,5,2.163232323,0.379,0,1,0.493161616,0.643,0,4,0.643828283,0.048,0,1,0.234535354,0.302,0,4,0.340414141,0.038,0,1,0.162878788,0.254,0,4,0.268727273,0.038,0,1,0.113090909,0.24,0,4,0.259090909,0.029,0,1,0.074131313,0.235,0,2,0.258808081,0.034,0,0.5,0.048474747,0.226,0,2,0.247464646,0.024,0,0.5,0.031090909,0.23,0,2,0.23520202,0.024,0,0.5,0.023040404,0.221,0,1.5,0.223323232,0.024,0,0.375,0.019636364,0.221,0,1.5,0.210080808,0.024,0,0.375,0.018272727,0.216,0,1.5,0.201040404,0.024,0,0.375,0.017636364,0.206,0,0.6,0.192151515,0.019,0,0.15,0.017818182,0.187,0,0.6,0.168606061,0.019,0,0.15,0.018686869,0.158,0,0.6,0.149373737,0.029,0,0.15,0.021727273,0.154,0,0.6,0.132767677,0.029,0,0.15,0.027686869,0.125,0,0.6,0.123616162,0.043,0,0.15,0.037707071,0.106,0,0.6,0.132222222,0.062,0,0.15,0.05489899,0.12,0,0.3,0.199737374,0.086,0,0.075,0.073161616,0.134,0,0.3,0.255626263,0.101,0,0.075,0.07440404,0.134,0,0.3,0.217111111,0.086,0,0.075,0.05779798
2.18,0,5,2.163232323,0.437,0,1,0.493161616,0.706,0,4,0.643828283,0.077,0,1,0.234535354,0.336,0,4,0.340414141,0.034,0,1,0.162878788,0.264,0,4,0.268727273,0.034,0,1,0.113090909,0.24,0,4,0.259090909,0.029,0,1,0.074131313,0.235,0,2,0.258808081,0.024,0,0.5,0.048474747,0.23,0,2,0.247464646,0.024,0,0.5,0.031090909,0.216,0,2,0.23520202,0.019,0,0.5,0.023040404,0.202,0,1.5,0.223323232,0.019,0,0.375,0.019636364,0.197,0,1.5,0.210080808,0.014,0,0.375,0.018272727,0.182,0,1.5,0.201040404,0.014,0,0.375,0.017636364,0.173,0,0.6,0.192151515,0.014,0,0.15,0.017818182,0.158,0,0.6,0.168606061,0.014,0,0.15,0.018686869,0.154,0,0.6,0.149373737,0.014,0,0.15,0.021727273,0.115,0,0.6,0.132767677,0.01,0,0.15,0.027686869,0.12,0,0.6,0.123616162,0.01,0,0.15,0.037707071,0.202,0,0.6,0.132222222,0.014,0,0.15,0.05489899,0.346,0,0.3,0.199737374,0.014,0,0.075,0.073161616,0.461,0,0.3,0.255626263,0.024,0,0.075,0.07440404,0.432,0,0.3,0.217111111,0.019,0,0.075,0.05779798
2.12,0,5,2.163232323,0.547,0,1,0.493161616,0.586,0,4,0.643828283,0.379,0,1,0.234535354,0.298,0,4,0.340414141,0.274,0,1,0.162878788,0.206,0,4,0.268727273,0.192,0,1,0.113090909,0.206,0,4,0.259090909,0.12,0,1,0.074131313,0.226,0,2,0.258808081,0.072,0,0.5,0.048474747,0.23,0,2,0.247464646,0.038,0,0.5,0.031090909,0.23,0,2,0.23520202,0.024,0,0.5,0.023040404,0.226,0,1.5,0.223323232,0.019,0,0.375,0.019636364,0.216,0,1.5,0.210080808,0.014,0,0.375,0.018272727,0.216,0,1.5,0.201040404,0.01,0,0.375,0.017636364,0.197,0,0.6,0.192151515,0.01,0,0.15,0.017818182,0.192,0,0.6,0.168606061,0.01,0,0.15,0.018686869,0.173,0,0.6,0.149373737,0.01,0,0.15,0.021727273,0.144,0,0.6,0.132767677,0.01,0,0.15,0.027686869,0.11,0,0.6,0.123616162,0.005,0,0.15,0.037707071,0.125,0,0.6,0.132222222,0.01,0,0.15,0.05489899,0.202,0,0.3,0.199737374,0.014,0,0.075,0.073161616,0.235,0,0.3,0.255626263,0.014,0,0.075,0.07440404,0.211,0,0.3,0.217111111,0.01,0,0.075,0.05779798
2.33,0,5,2.163232323,0.648,0,1,0.493161616,0.648,0,4,0.643828283,0.456,0,1,0.234535354,0.283,0,4,0.340414141,0.326,0,1,0.162878788,0.23,0,4,0.268727273,0.221,0,1,0.113090909,0.24,0,4,0.259090909,0.139,0,1,0.074131313,0.245,0,2,0.258808081,0.086,0,0.5,0.048474747,0.245,0,2,0.247464646,0.048,0,0.5,0.031090909,0.235,0,2,0.23520202,0.029,0,0.5,0.023040404,0.235,0,1.5,0.223323232,0.024,0,0.375,0.019636364,0.23,0,1.5,0.210080808,0.019,0,0.375,0.018272727,0.221,0,1.5,0.201040404,0.019,0,0.375,0.017636364,0.206,0,0.6,0.192151515,0.019,0,0.15,0.017818182,0.187,0,0.6,0.168606061,0.029,0,0.15,0.018686869,0.168,0,0.6,0.149373737,0.034,0,0.15,0.021727273,0.149,0,0.6,0.132767677,0.038,0,0.15,0.027686869,0.13,0,0.6,0.123616162,0.043,0,0.15,0.037707071,0.12,0,0.6,0.132222222,0.043,0,0.15,0.05489899,0.192,0,0.3,0.199737374,0.043,0,0.075,0.073161616,0.25,0,0.3,0.255626263,0.038,0,0.075,0.07440404,0.23,0,0.3,0.217111111,0.034,0,0.075,0.05779798
1.89,0,5,2.163232323,0.36,0,1,0.493161616,0.73,0,4,0.643828283,0.058,0,1,0.234535354,0.322,0,4,0.340414141,0.038,0,1,0.162878788,0.245,0,4,0.268727273,0.029,0,1,0.113090909,0.226,0,4,0.259090909,0.019,0,1,0.074131313,0.226,0,2,0.258808081,0.014,0,0.5,0.048474747,0.216,0,2,0.247464646,0.01,0,0.5,0.031090909,0.211,0,2,0.23520202,0.01,0,0.5,0.023040404,0.211,0,1.5,0.223323232,0.01,0,0.375,0.019636364,0.202,0,1.5,0.210080808,0.01,0,0.375,0.018272727,0.206,0,1.5,0.201040404,0.005,0,0.375,0.017636364,0.197,0,0.6,0.192151515,0.005,0,0.15,0.017818182,0.168,0,0.6,0.168606061,0.005,0,0.15,0.018686869,0.149,0,0.6,0.149373737,0.005,0,0.15,0.021727273,0.144,0,0.6,0.132767677,0.005,0,0.15,0.027686869,0.12,0,0.6,0.123616162,0.005,0,0.15,0.037707071,0.115,0,0.6,0.132222222,0.005,0,0.15,0.05489899,0.158,0,0.3,0.199737374,0.01,0,0.075,0.073161616,0.221,0,0.3,0.255626263,0.01,0,0.075,0.07440404,0.187,0,0.3,0.217111111,0.01,0,0.075,0.05779798
2.3,0,5,2.163232323,0.73,0,1,0.493161616,0.648,0,4,0.643828283,0.47,0,1,0.234535354,0.307,0,4,0.340414141,0.322,0,1,0.162878788,0.216,0,4,0.268727273,0.206,0,1,0.113090909,0.245,0,4,0.259090909,0.125,0,1,0.074131313,0.264,0,2,0.258808081,0.072,0,0.5,0.048474747,0.259,0,2,0.247464646,0.043,0,0.5,0.031090909,0.25,0,2,0.23520202,0.024,0,0.5,0.023040404,0.24,0,1.5,0.223323232,0.014,0,0.375,0.019636364,0.221,0,1.5,0.210080808,0.01,0,0.375,0.018272727,0.211,0,1.5,0.201040404,0.01,0,0.375,0.017636364,0.202,0,0.6,0.192151515,0.01,0,0.15,0.017818182,0.192,0,0.6,0.168606061,0.005,0,0.15,0.018686869,0.168,0,0.6,0.149373737,0.005,0,0.15,0.021727273,0.144,0,0.6,0.132767677,0.005,0,0.15,0.027686869,0.101,0,0.6,0.123616162,0.005,0,0.15,0.037707071,0.115,0,0.6,0.132222222,0.005,0,0.15,0.05489899,0.144,0,0.3,0.199737374,0.005,0,0.075,0.073161616,0.173,0,0.3,0.255626263,0.005,0,0.075,0.07440404,0.139,0,0.3,0.217111111,0.005,0,0.075,0.05779798
1.84,0,5,2.163232323,0.533,0,1,0.493161616,0.61,0,4,0.643828283,0.082,0,1,0.234535354,0.23,0,4,0.340414141,0.053,0,1,0.162878788,0.178,0,4,0.268727273,0.043,0,1,0.113090909,0.178,0,4,0.259090909,0.038,0,1,0.074131313,0.197,0,2,0.258808081,0.034,0,0.5,0.048474747,0.197,0,2,0.247464646,0.029,0,0.5,0.031090909,0.197,0,2,0.23520202,0.024,0,0.5,0.023040404,0.202,0,1.5,0.223323232,0.019,0,0.375,0.019636364,0.187,0,1.5,0.210080808,0.019,0,0.375,0.018272727,0.182,0,1.5,0.201040404,0.014,0,0.375,0.017636364,0.182,0,0.6,0.192151515,0.014,0,0.15,0.017818182,0.158,0,0.6,0.168606061,0.01,0,0.15,0.018686869,0.134,0,0.6,0.149373737,0.01,0,0.15,0.021727273,0.134,0,0.6,0.132767677,0.01,0,0.15,0.027686869,0.12,0,0.6,0.123616162,0.01,0,0.15,0.037707071,0.125,0,0.6,0.132222222,0.01,0,0.15,0.05489899,0.23,0,0.3,0.199737374,0.014,0,0.075,0.073161616,0.302,0,0.3,0.255626263,0.014,0,0.075,0.07440404,0.25,0,0.3,0.217111111,0.014,0,0.075,0.05779798
1.73,0,5,2.163232323,0.36,0,1,0.493161616,0.595,0,4,0.643828283,0.082,0,1,0.234535354,0.264,0,4,0.340414141,0.034,0,1,0.162878788,0.226,0,4,0.268727273,0.029,0,1,0.113090909,0.221,0,4,0.259090909,0.019,0,1,0.074131313,0.226,0,2,0.258808081,0.019,0,0.5,0.048474747,0.211,0,2,0.247464646,0.019,0,0.5,0.031090909,0.211,0,2,0.23520202,0.014,0,0.5,0.023040404,0.206,0,1.5,0.223323232,0.014,0,0.375,0.019636364,0.206,0,1.5,0.210080808,0.019,0,0.375,0.018272727,0.202,0,1.5,0.201040404,0.014,0,0.375,0.017636364,0.192,0,0.6,0.192151515,0.019,0,0.15,0.017818182,0.163,0,0.6,0.168606061,0.024,0,0.15,0.018686869,0.154,0,0.6,0.149373737,0.029,0,0.15,0.021727273,0.13,0,0.6,0.132767677,0.043,0,0.15,0.027686869,0.12,0,0.6,0.123616162,0.072,0,0.15,0.037707071,0.125,0,0.6,0.132222222,0.096,0,0.15,0.05489899,0.154,0,0.3,0.199737374,0.106,0,0.075,0.073161616,0.182,0,0.3,0.255626263,0.101,0,0.075,0.07440404,0.134,0,0.3,0.217111111,0.082,0,0.075,0.05779798
2.21,0,5,2.163232323,0.682,0,1,0.493161616,0.533,0,4,0.643828283,0.461,0,1,0.234535354,0.25,0,4,0.340414141,0.331,0,1,0.162878788,0.202,0,4,0.268727273,0.23,0,1,0.113090909,0.221,0,4,0.259090909,0.149,0,1,0.074131313,0.23,0,2,0.258808081,0.091,0,0.5,0.048474747,0.235,0,2,0.247464646,0.048,0,0.5,0.031090909,0.23,0,2,0.23520202,0.029,0,0.5,0.023040404,0.226,0,1.5,0.223323232,0.024,0,0.375,0.019636364,0.211,0,1.5,0.210080808,0.019,0,0.375,0.018272727,0.211,0,1.5,0.201040404,0.019,0,0.375,0.017636364,0.197,0,0.6,0.192151515,0.014,0,0.15,0.017818182,0.182,0,0.6,0.168606061,0.014,0,0.15,0.018686869,0.163,0,0.6,0.149373737,0.014,0,0.15,0.021727273,0.13,0,0.6,0.132767677,0.01,0,0.15,0.027686869,0.115,0,0.6,0.123616162,0.01,0,0.15,0.037707071,0.125,0,0.6,0.132222222,0.01,0,0.15,0.05489899,0.226,0,0.3,0.199737374,0.014,0,0.075,0.073161616,0.298,0,0.3,0.255626263,0.014,0,0.075,0.07440404,0.269,0,0.3,0.217111111,0.014,0,0.075,0.05779798
1.65,0,5,2.163232323,0.298,0,1,0.493161616,0.557,0,4,0.643828283,0.082,0,1,0.234535354,0.283,0,4,0.340414141,0.034,0,1,0.162878788,0.235,0,4,0.268727273,0.034,0,1,0.113090909,0.221,0,4,0.259090909,0.019,0,1,0.074131313,0.226,0,2,0.258808081,0.019,0,0.5,0.048474747,0.226,0,2,0.247464646,0.014,0,0.5,0.031090909,0.226,0,2,0.23520202,0.014,0,0.5,0.023040404,0.221,0,1.5,0.223323232,0.014,0,0.375,0.019636364,0.216,0,1.5,0.210080808,0.014,0,0.375,0.018272727,0.216,0,1.5,0.201040404,0.014,0,0.375,0.017636364,0.202,0,0.6,0.192151515,0.014,0,0.15,0.017818182,0.182,0,0.6,0.168606061,0.014,0,0.15,0.018686869,0.158,0,0.6,0.149373737,0.014,0,0.15,0.021727273,0.139,0,0.6,0.132767677,0.034,0,0.15,0.027686869,0.12,0,0.6,0.123616162,0.048,0,0.15,0.037707071,0.11,0,0.6,0.132222222,0.062,0,0.15,0.05489899,0.12,0,0.3,0.199737374,0.067,0,0.075,0.073161616,0.134,0,0.3,0.255626263,0.062,0,0.075,0.07440404,0.101,0,0.3,0.217111111,0.048,0,0.075,0.05779798
